,Hashtag,Count
6552,icyhot,8
846,injury,8
5035,workerscompensation,8
7155,headandneckcancer,8
1930,gps,8
1313,alcoholism,8
845,spinal,8
1483,nephpearls,8
1888,cbcmorethanliveshere,8
4361,classc,8
93,mdlinx,8
2415,risk,8
2282,safety,8
2448,evidencebased,8
314,mmj,8
24,dystonia,8
6315,hydroxychloroquine,8
3002,painpatients,8
4522,menopause,8
6241,coronavirus,8
3388,painkiller,8
4036,drugtrends,8
3013,deprescribe,8
2142,drugsafety,8
588,healthtap,8
1432,tip,8
289,lamisil,8
2162,kidneywk,8
1446,datamining,8
1414,antidepressant,8
3005,plosmedicine,8
732,clonazepam,8
988,soundcloud,8
2189,painsummit,8
1978,acutepain,8
6678,hypermobility,8
1381,painmeds,8
3920,conferences,8
621,4,8
4087,orthopedics,8
1198,antiaging,8
1456,elderly,8
6228,alcoholusedisorder,8
2495,feedly,8
1649,buy,8
1156,skin,8
1151,klonopin,8
3272,obesity,8
2667,methadone,8
1142,warnerlambert,8
4951,pelvicpain,8
4288,capsules,8
3283,livepd,8
1082,weightgain,8
1526,antitrust,8
881,chemo,8
3614,podcast,8
3609,patientvlog,8
2825,australia,8
6742,primarycarechat,8
2845,weloveukgps,8
1068,naproxen,8
2844,doctorsjobsnz,8
407,painpatches,8
3274,cocaine,8
3427,assetmanagement,8
799,zombie,8
6439,westns,8
791,biotechnology,8
3360,dea,8
3188,webinar,8
212,litigation,8
1786,opiate,8
1188,milnacipran,8
2911,internalmedicine,8
980,ambien,7
1623,trazodone,7
264,job,7
689,butrans,7
1445,nejm,7
632,vet,7
4222,awaazmarkets,7
1439,restlesslegssyndrome,7
1435,sertraline,7
952,lifeidea,7
4223,chemotherapy,7
2035,россия,7
3999,familymedicine,7
1640,anxietyproblems,7
1882,marketresearch,7
4059,painreports,7
1798,misuse,7
4102,rpic2018,7
5285,gunsense,7
5286,guncontrolnow,7
1914,birthdefect,7
7649,dayarampharmachem,7
1529,topclassactions,7
6434,bmjeducation,7
3358,medicalmarijuana,7
1474,carbamazepine,7
1473,postherpeticneuralgia,7
5446,pharmicu,7
4125,blueribbon,7
1948,homeopathy,7
3079,hemp,7
7111,astro20,7
5752,dogsoftwittter,7
4386,ubc,7
4282,perioperative,7
3277,dangerous,7
1685,anticonvulsants,7
7144,recoveryposse,7
349,brainfog,7
6426,productmarketing,7
1011,tn,7
4687,massspec,7
776,finance,7
5033,healthhut,7
2450,hydrocodone,7
3954,obgyn,7
4801,nursetwitter,7
1199,enhance,7
2961,endthestigma,7
792,postherpetic,7
797,follow,7
1162,palliative,7
2590,veteran,7
3732,medicareforall,7
4965,opiodhysteria,7
3557,jointpain,7
4901,caturday,7
463,bioethics,7
4943,tylenol,7
5287,nhpolitics,7
2860,thecornercgl,7
1048,painfree,7
6424,strategy,7
340,tadalafil,7
2744,dialysis,7
2747,rct,7
2779,ebm,7
3574,rheumatoidarthritis,7
1303,sciencenews,7
4795,ophthalmology,7
4762,fyi,7
132,anticonvulsant,7
3939,painawarenessmonth,7
3947,painweek,7
2131,aafpfmx,7
128,powerpoint,7
298,ocd,7
835,myeloma,7
3037,medtraumachat,7
3953,grandrounds,7
2196,france,7
562,depomed,7
3818,archibusnexus2019,7
6303,newborn,7
3812,cbdoil,7
6864,dog,7
2175,taper,7
6425,competitiveintelligence,7
218,trading,6
4472,nephmadness,6
1422,pubmedontap,6
859,myalgicencephalomyelitis,6
7645,importer,6
4251,fuckms,6
7644,exporter,6
4256,vulvodynia,6
7643,manufacturer,6
1612,usmle,6
1110,raredisease,6
860,prednisone,6
1098,court,6
814,spinalcord,6
1434,restlesslegsyndrome,6
1061,agoraphobia,6
992,slide,6
1477,fatigue,6
5129,psychtwitter,6
4316,spasticity,6
726,stress,6
1306,acr13,6
956,steroids,6
7611,savingustodeath,6
953,oxycontin,6
1626,polyneuropathy,6
5479,lxaddictions19,6
7512,hsd,6
829,love,6
1369,cancerpain,6
787,management,6
4354,information,6
4618,respiratory,6
5423,vahell,6
1378,anti,6
4899,sicklecell,6
757,bbc,6
4321,kuwait,6
1387,pokemontalk,6
1514,adhd,6
7647,supplier,6
4686,jat,6
7646,distributer,6
5011,mediconnect,6
1934,birth,6
5654,patientsarenotfaking,6
612,women,6
2848,painjournal,6
3915,workcomp,6
2226,acmd,6
465,lifestyle,6
3929,reducetheharms,6
2188,yaroslavl,6
2904,quetiapine,6
2187,что,6
2938,substancemisuse,6
2186,где,6
2185,предлагаю,6
2173,cpsp,6
2153,beyondlocation,6
6741,adoptdontshop,6
2057,synapses,6
2019,crime,6
5928,disabilitytwitter,6
3903,medstudent,6
2237,patientsnotaddicts,6
3895,eafest18,6
2704,art,6
2555,ibd,6
3734,britjpain,6
3772,psychiatrists,6
2488,lcsm,6
3707,drugpolicy,6
3665,infrastructure,6
6802,kopran,6
2724,medicare,6
2838,chronicpainpatients,6
6347,covid,6
2754,nejmforum,6
487,london,6
2373,nps,6
2371,irishdrugtrends,6
2370,nhsrightcare,6
2329,painsomnia,6
3422,hikal,6
580,lymedisease,6
6724,breastsurgery,6
7154,westnsmedrevision,6
3334,alzheimers,6
5710,prescribed,6
3350,postoperativepain,6
3258,apsaascept,6
